Batch	Gene_id	Date anticipated	Latest email sent (MJ)	GW_title	corresponding author	Journal state	status	Pubmed	Gene Wiki Status	Gene Wiki Page	Notes	Acknowledgements	Grant ID	Editor	Correspondance status	Survey	Responding IP	PMCID
	653509	July--COMPLETE	7/18/2012	SFTPA1	Floros	published	http://www.sciencedirect.com/science/article/pii/S0378111912012206	http://www.ncbi.nlm.nih.gov/pubmed/23069847	Complete	http://en.wikipedia.org/wiki/Pulmonary_surfactant-associated_protein_A1	Completed along with SFTPA2	 						3570704
	729238	July--COMPLETE	7/18/2012	SFTPA2	Floros	published	http://www.sciencedirect.com/science/article/pii/S0378111912012206	http://www.ncbi.nlm.nih.gov/pubmed/23069847	Complete	http://en.wikipedia.org/wiki/SFTPA2	Completed along with SFTPA1					sabbatical		3570704
	406947	July (end)	7/18/2012	MIR155	Elton	published	http://www.sciencedirect.com/science/article/pii/S0378111912015120	http://www.ncbi.nlm.nih.gov/pubmed/23246696	Complete	http://en.wikipedia.org/wiki/MiR-155	--					delivery failed		NIHMS ID 909445
	2053	Unknown	7/18/2012	EPHX2	Hammock	published	http://www.sciencedirect.com/science/article/pii/S0378111913006173	http://www.ncbi.nlm.nih.gov/pubmed/23701967	Complete	http://en.wikipedia.org/wiki/Epoxide_hydrolase_2	--					completed	169.237.169.94	3881560
	3980	Early August	7/18/2012	LIG3	Tomkinson	published	http://www.sciencedirect.com/science/article/pii/S0378111913011219	http://www.ncbi.nlm.nih.gov/pubmed/24013086	Complete	http://en.wikipedia.org/wiki/LIG3	--					sent		3733540
	3832	End of October		KIF11	Kim	published	http://www.sciencedirect.com/science/article/pii/S0378111913010202	http://www.ncbi.nlm.nih.gov/pubmed/23954229	Complete	http://en.wikipedia.org/wiki/Kinesin_family_member_11	--					completed	24.252.93.148	3801170
2	23327	10/17/2014	12/2/2014	NEDD4L	Dr. Sharad Kumar	published	http://www.sciencedirect.com/science/article/pii/S0378111914013286	http://www.ncbi.nlm.nih.gov/pubmed/25433090	Complete	http://en.wikipedia.org/wiki/NEDD4L	--			Andrew	Archived 2015.05	completed	1.124.49.3	6636357
2*	4734	10/17/2014	12/2/2014	NEDD4	Dr. Sharad Kumar	published	http://www.sciencedirect.com/science/article/pii/S0378111914014164	http://www.ncbi.nlm.nih.gov/pubmed/25527121	Complete	http://en.wikipedia.org/wiki/NEDD4	--			Andrew	Archived 2015.05			6639052
1	9564	12/1/2014	12/17/2014	BCAR1	Dr. Sara Cabodi	published	http://www.sciencedirect.com/science/article/pii/S0378111915001754	http://www.ncbi.nlm.nih.gov/pubmed/25727852	Complete	http://en.wikipedia.org/wiki/BCAR1	--			Andrew	Archived 2015.05	sent again		6639054
2	10381	12/15/2014	1/12/2015	TUBB3	Dr. Ferlini	published	http://www.sciencedirect.com/science/article/pii/S0378111915003674	http://www.ncbi.nlm.nih.gov/pubmed/25839941	Complete	http://en.wikipedia.org/wiki/TUBB3	--	Template used		Andrew	Archived 2015.05	sent again		6649683
1*	4739	1/16/2015	1/15/2015	NEDD9	Dr. Erica Golemis	published	http://www.sciencedirect.com/science/article/pii/S0378111915005715	http://www.ncbi.nlm.nih.gov/pubmed/25967390	Complete	https://en.wikipedia.org/wiki/NEDD9	--	Template used	GM089820	Andrew	Archived 2015.05	completed	131.249.80.212	4458429
4	8048	3/6/2015	3/6/2015	CSRP3	Dr. Despina Sanoudou	published	http://www.sciencedirect.com/science/article/pii/S0378111915005193	http://www.ncbi.nlm.nih.gov/pubmed/25936993	Complete	http://en.wikipedia.org/wiki/CSRP3	"Cardiac Gene - submission not linked to proposal, so keep an eye out"	Template used	GM089820	Andrew	Archived 2015.05	completed	141.255.39.0	6660132
5	5444	5/1/2015	3/17/2015	PON1	Dr. Mike Mackness	published	http://www.sciencedirect.com/science/article/pii/S0378111915005739	http://www.ncbi.nlm.nih.gov/pubmed/25965560	Complete	http://en.wikipedia.org/wiki/PON1 	Cardiac Gene	Template used	GM089820	Andrew	Archived 2015.05	completed	83.52.194.255	4458450
3	8260	12/15/2014	12/17/2014	NAA10	Dr. Gholson J. Lyon	published	http://www.sciencedirect.com/science/article/pii/S0378111915005703	http://www.ncbi.nlm.nih.gov/pubmed/25987439	Complete	http://en.wikipedia.org/wiki/N-alpha-acetyltransferase_10	--	Template used	GM089820	Andrew	Archived 2015.05	sent again		4461483
3	80155	12/15/2014	12/17/2014	NAA15	Dr. Gholson J. Lyon	published	http://www.sciencedirect.com/science/article/pii/S0378111915005703	http://www.ncbi.nlm.nih.gov/pubmed/25987439	Complete	http://en.wikipedia.org/wiki/NAA15	--	Template used	GM089820	Andrew	Archived 2015.05			4461483
3	3440	3/30/2015	3/9/2015	IFNA2	Dr. Gilles Uze	published	http://www.sciencedirect.com/science/article/pii/S0378111915005727	http://www.ncbi.nlm.nih.gov/pubmed/25982860	Complete	http://en.wikipedia.org/wiki/IFNA2	--	Template used	GM089820	Andrew	Archived 2015.05	completed	162.38.196.202	5629289
2	2072	3/2/2015	3/2/2015	ERCC4	Dr. Richard Wood	published	http://www.sciencedirect.com/science/article/pii/S0378111915007349	http://www.ncbi.nlm.nih.gov/pubmed/26074087	Complete	http://en.wikipedia.org/wiki/ERCC4		"Template used, link omitted"	GM089820	Andrew		completed	143.111.84.178	4536074
2*	2067	3/2/2015	3/2/2015	ERCC1	Dr. Richard Wood	published	http://www.sciencedirect.com/science/article/pii/S0378111915007349	http://www.ncbi.nlm.nih.gov/pubmed/26074087	Complete	http://en.wikipedia.org/wiki/ERCC1		"Template used, link omitted"	GM089820	Andrew				4536074
4	17906	9/19/2014	2/13/2015	Myl2	Dr. Ju Chen	published	http://www.sciencedirect.com/science/article/pii/S0378111915007350	http://www.ncbi.nlm.nih.gov/pubmed/26074085	Complete	http://en.wikipedia.org/wiki/MYL2	Cardiac Gene	"template used, link omitted"	GM089820	Andrew		sent again		4496279
2	3320	2/18/2015	2/27/2015	HSP90AA1	Dr. Len Neckers	published	http://www.sciencedirect.com/science/article/pii/S037811191500726X	http://www.ncbi.nlm.nih.gov/pubmed/26071189	Complete	"http://en.wikipedia.org/wiki/Heat_shock_protein_90kDa_alpha_%28cytosolic%29,_member_A1"	"Submission not linked to proposal, so keep an eye out for it"	Template used	GM089820	Andrew		sent again		4519370
4	230899	4/6/2015	4/6/2015	NPPA	Dr. Qingyu Wu	published	http://www.sciencedirect.com/science/article/pii/S0378111915007374	http://www.ncbi.nlm.nih.gov/pubmed/26074089	Complete 	http://en.wikipedia.org/wiki/Atrial_natriuretic_peptide	Cardiac Gene	Template used	GM089820	Andrew		completed	139.137.128.43	4496260
1	3486	11/7/2014	12/8/2014	IGFBP3	Dr. Robert Baxter	published	http://www.sciencedirect.com/science/article/pii/S0378111915007362	http://www.ncbi.nlm.nih.gov/pubmed/26074086	Complete	http://en.wikipedia.org/wiki/IGFBP3	"Submission not linked to proposal, so keep an eye out for it"	Template used	GM089820	Andrew		completed	129.78.233.211	4496269
5	9992	3/30/2015	4/3/2015	KCNE2	Dr. Geoffrey W. Abbott	published	http://www.sciencedirect.com/science/article/pii/S0378111915007714	http://www.ncbi.nlm.nih.gov/pubmed/26123744	Complete	http://en.wikipedia.org/wiki/KCNE2	Cardiac Gene	Template used	GM089820	Andrew		completed	128.200.162.67	4917011
1*	57091	5/11/2015	5/15/2015	CASS4	Dr. Erica Golemis	published	http://www.sciencedirect.com/science/article/pii/S0378111915007726	http://www.ncbi.nlm.nih.gov/pubmed/26119091	Complete	http://en.wikipedia.org/wiki/CASS4	"Submission not linked to proposal, so keep an eye out for it"	Template used	GM089820	Andrew				4519417
1*	10278	5/11/2015	5/15/2015	EFS	Dr. Erica Golemis	published	http://www.sciencedirect.com/science/article/pii/S0378111915007726	http://www.ncbi.nlm.nih.gov/pubmed/26119091	Complete	http://en.wikipedia.org/wiki/Embryonal_fyn-associated_substrate	reviewed with CASS4 as one paper	Template used	GM089820	Andrew				4519417
2	10411	6/8/2015		RAPGEF3	Dr. Xiaodong Cheng	published	http://www.sciencedirect.com/science/article/pii/S0378111915007738	http://www.ncbi.nlm.nih.gov/pubmed/26119090	Complete	http://en.wikipedia.org/wiki/RAPGEF3		Template used	GM089820	Andrew		completed	139.52.28.226	4556420
